# gunzip -c exp/tri22/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Sat Apr 22 03:53:52 UTC 2017
#
At utterance begin, SIL accounts for 88.2% of phone occurrences, with duration (median, mean, 95-percentile) is (18,25.3,69) frames.
Overall, d_B accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.6,11) frames.
Overall, ii_B accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.6,13) frames.
Overall, T_E accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.4,10) frames.
Overall, AH0_I accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.5,11) frames.
Overall, N_I accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.0,13) frames.
Overall, uu_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.9,16) frames.
Overall, j_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.4,14) frames.
Overall, n_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.9,13) frames.
Overall, <oov>_S accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (18,20.3,45) frames.
Overall, EH1_I accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.5,16) frames.
Overall, i4_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (5,8.5,25) frames.
Overall, N_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.0,22) frames.
Overall, sh_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.1,19) frames.
Overall, R_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.6,10) frames.
Overall, h_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.7,17) frames.
Overall, T_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.1,14) frames.
Overall, DH_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.6,11) frames.
Overall, t_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (9,8.6,15) frames.
Overall, uo3_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.1,19) frames.
Overall, i3_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.9,22) frames.
Overall, S_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.3,19) frames.
Overall, e5_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,10.1,31) frames.
Overall, ii_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.7,14) frames.
Overall, ix4_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,10.1,31) frames.
Overall, b_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.5,13) frames.
Overall, L_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.5,12) frames.
Overall, IH1_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.2,11) frames.
Overall, g_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.6,14) frames.
Overall, sh_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.3,16) frames.
Overall, AH1_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.4,14) frames.
Overall, zh_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.8,13) frames.
Overall, K_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.5,15) frames.
Overall, AE1_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.4,15) frames.
Overall, l_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.4,17) frames.
Overall, k_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.2,15) frames.
Overall, a5_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (12,14.1,32) frames.
Overall, m_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.2,12) frames.
Overall, S_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.1,17) frames.
Overall, iu3_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,10.2,28) frames.
Overall, AY1_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.0,22) frames.
Overall, S_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.9,24) frames.
Overall, m_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.7,15) frames.
Overall, IH0_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.1,10) frames.
Overall, a1_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.8,19) frames.
Overall, x_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.4,19) frames.
Overall, K_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.4,16) frames.
Overall, z_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,8.8,14) frames.
Overall, Z_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,11.0,24) frames.
Overall, en5_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.9,24) frames.
Overall, T_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.2,15) frames.
Overall, sil_S accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (21,25.7,63) frames.
Overall, K_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.9,11) frames.
Overall, W_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.6,17) frames.
Overall, L_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.2,13) frames.
Overall, AO1_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.0,22) frames.
Overall, AA1_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.8,13) frames.
Overall, B_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.5,14) frames.
Overall, L_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (3,6.9,23) frames.
Overall, D_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.6,7) frames.
Overall, a4_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.5,11) frames.
Overall, IY0_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,11.5,30) frames.
Overall, q_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.7,19) frames.
The optional-silence phone SIL occupies 25.0% of frames overall 
Limiting the stats to the 87.7% of frames not covered by an utterance-[begin/end] phone, optional-silence SIL occupies 15.6% of frames.
Assuming 100 frames per second, the alignments represent 49.3 hours of data, or 36.9 hours if SIL frames are excluded.
Utterance-internal optional-silences SIL comprise 5.6% of utterance-internal phones, with duration (median, mean, 95-percentile) = (15,26.3,84)
# Accounting: time=1 threads=1
# Ended (code 0) at Sat Apr 22 03:53:53 UTC 2017, elapsed time 1 seconds
