# gunzip -c exp/tri2/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Sat Apr 22 00:29:18 UTC 2017
#
At utterance begin, SIL accounts for 88.8% of phone occurrences, with duration (median, mean, 95-percentile) is (18,25.4,69) frames.
Overall, x_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.5,19) frames.
Overall, K_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.3,17) frames.
Overall, z_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,8.8,14) frames.
Overall, Z_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,11.0,25) frames.
Overall, en5_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.0,24) frames.
Overall, T_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.0,15) frames.
Overall, sil_S accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (21,25.0,61) frames.
Overall, K_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.7,10) frames.
Overall, W_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.5,16) frames.
Overall, L_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.1,13) frames.
Overall, AO1_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.2,22) frames.
Overall, AA1_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.1,14) frames.
Overall, B_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.3,14) frames.
Overall, L_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (3,6.8,23) frames.
Overall, D_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.6,7) frames.
Overall, a4_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.5,11) frames.
Overall, IY0_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,11.6,29) frames.
Overall, q_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.7,19) frames.
The optional-silence phone SIL occupies 25.2% of frames overall 
Limiting the stats to the 87.7% of frames not covered by an utterance-[begin/end] phone, optional-silence SIL occupies 15.8% of frames.
Assuming 100 frames per second, the alignments represent 49.3 hours of data, or 36.8 hours if SIL frames are excluded.
Utterance-internal optional-silences SIL comprise 5.6% of utterance-internal phones, with duration (median, mean, 95-percentile) = (16,27.0,85)
# Accounting: time=1 threads=1
# Ended (code 0) at Sat Apr 22 00:29:19 UTC 2017, elapsed time 1 seconds
